"","EtOH1","EtOH2","EtOH3","TAM1","TAM2","TAM3"
"ENSMUSG00000032666",9.05817844337467,10.3363405494096,8.86388983411357,9.55414303344718,9.54603312785852,8.90705002746862
"ENSMUSG00000015961",11.1886687160506,11.4135197290714,11.1187983371467,11.2214741888343,11.5644672453203,10.6410884472393
"ENSMUSG00000014980",8.47999068408915,8.02435059637434,8.77337820535387,8.26679654741952,8.24712691557852,8.42427935204649
"ENSMUSG00000026235",9.09474422647367,9.07237292480501,7.21137328130622,12.1174650101465,9.78733342232475,9.80203101243366
"ENSMUSG00000032649",5.30629065909813,5.30270622959578,7.3768362578224,5.12667007264114,4.75650864121367,5.72125802030532
"ENSMUSG00000026047",10.0440473592068,9.54686476928272,10.0688357871322,9.94098553178418,9.71434761647463,9.95502722355142
"ENSMUSG00000091476",5.06429687379399,5.07950517148644,5.65527635327278,5.60999948103857,5.59630203011354,5.72125802030532
"ENSMUSG00000041684",9.89809173913632,9.6683468446646,9.70931541488253,10.0665649970095,9.55217641119124,9.52427155162941
"ENSMUSG00000032908",5.00724914723996,4.68058167073231,4.8348683072271,4.911830105159,4.98446887775866,4.76398828541881
"ENSMUSG00000026502",10.8538783277102,11.3008163701372,10.9410232464892,10.8246579213374,10.8852235164984,10.4959692068872
"ENSMUSG00000104126",4.72687328330185,5.2515179510615,4.75149470730567,4.84802125783644,4.84043194981961,4.83256415831522
"ENSMUSG00000086350",5.16855071683614,4.9434503635141,5.34931817344542,5.92458888347468,5.35805792135243,5.48967950559127
"ENSMUSG00000026500",5.21663765452124,5.07950517148644,5.47416000717696,5.48312266817414,4.84043194981961,5.19567976058824
"ENSMUSG00000026048",10.5405037141413,10.2690718549301,10.2222912480106,11.2844445177948,10.4383186235953,11.0513651761758
"ENSMUSG00000026245",10.742335324452,10.7124730885802,10.4885416639595,10.6172437480484,11.6264049797759,10.3101386627679
"ENSMUSG00000104018",5.21663765452124,5.74725552142499,5.65527635327278,5.12667007264114,5.48360567880323,4.76398828541881
"ENSMUSG00000026482",12.6544661581903,12.2950847122763,11.812437911493,12.7840940811358,11.7968395386124,12.3524731761591
"ENSMUSG00000080950",4.52449275406073,4.56227785852408,4.65614249629888,4.84802125783644,4.91573404637058,4.35984518333378
