occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
1313298,occ,,,136269,Gomphotherium angustidens,species,157812,,Gomphotherium angustidens,species,157812,Early Miocene,Middle Miocene,23.03,11.608,57907,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-2.675833,40.471943,ES,Castile-La Mancha,Guadalajara,estimated from map,seconds,outcrop,The fossils come from two outcrops which are situated close to each other (Córcoles A and B) in the vicinity of the village Córcoles in the Guadalajara Province.,gplates,304,mid,-0.29,37.68,scotese,304,mid,-4.1,40.51,seton,304,mid,-5.54,38.86
1313366,occ,,,176265,Trilophodon angustidens,species,478222,recombined as,Tetrabelodon angustidens,species,104414,MN 4,,16.9,15.97,57920,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,1.998889,41.441666,ES,Catalonia,El Papiol,based on nearby landmark,seconds,,"CMA is a loosely defined paleontological site, which includes Miocene levels of reddish to brownish clays from several quarries that were situated close to the house of Can Mas, about 1 km NW from the town of El Papiol (Delfino et al., 2013)",gplates,304,mid,4.12,38.67,scotese,304,mid,0.64,41.55,seton,304,mid,-0.84,40.04
1313479,occ,,,176268,Deinotherium bavaricum,species,96590,recombined as,Prodeinotherium bavaricum,species,96590,Vallesian,,11.608,8.7,57920,Chordata,Mammalia,Proboscidea,Deinotheriidae,Prodeinotherium,1.969444,41.552502,ES,Catalonia,Terrassa,based on nearby landmark,seconds,,"Coordinates based on the Old church ""Sant Miquel de Toudell"" near the town of Terrassa (Catalonia)",gplates,304,mid,3.29,39.87,scotese,304,mid,1.09,41.78,seton,304,mid,0.11,40.76
1313480,occ,,,176268,Turicius turicensis,species,95511,"subjective synonym of, species not entered",Zygolophodon,genus,95509,Vallesian,,11.608,8.7,57920,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,1.969444,41.552502,ES,Catalonia,Terrassa,based on nearby landmark,seconds,,"Coordinates based on the Old church ""Sant Miquel de Toudell"" near the town of Terrassa (Catalonia)",gplates,304,mid,3.29,39.87,scotese,304,mid,1.09,41.78,seton,304,mid,0.11,40.76
1315766,occ,,,176608,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,58186,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-88.030281,42.50528,US,Wisconsin,Kenosha,estimated from map,seconds,,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1315767,occ,,,176609,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,58186,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-88.030281,42.50528,US,Wisconsin,Kenosha,estimated from map,seconds,,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1315768,occ,,,176610,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,58186,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-88.030281,42.50528,US,Wisconsin,Kenosha,estimated from map,seconds,,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1315784,occ,,,176611,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,58186,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-88.030281,42.50528,US,Wisconsin,Kenosha,estimated from map,seconds,,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1317107,occ,,,84901,Mammuthus exilis,species,47874,,Mammuthus exilis,species,46019,Rancholabrean,,0.3,0.012,58344,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-120.193054,34.005554,US,California,Santa Barbara,estimated from map,seconds,,"Santa Rosa Island, NW coast, 300-500 yards inland and about 20 yards back from the edge of the Garanon wave-cut platform",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1327684,occ,,,178476,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,59047,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,3.87,52.009998,NL,,,estimated from map,2,hand sample,Fragment fished from North Sea,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1333800,occ,,,179726,n. gen. Omanitherium n. sp. dhofarensis,species,344050,,Omanitherium dhofarensis,species,344050,Early Oligocene,,33.9,28.4,59578,Chordata,Mammalia,Proboscidea,Barytheriidae,Omanitherium,54.0,17.0,OM,Dhofar,,estimated from map,degrees,small collection,"UTM coordinates 39Q, 767804.80 m E, 1878508.74 mN",gplates,503,mid,50.91,4.38,scotese,503,mid,47.02,10.02,seton,503,mid,47.22,9.85
