"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000097711",8.86431188395518,0.00780273499622687,0.252314692433223,0.91913159496383,0.985526005152322,"Gm5523"
"ENSMUSG00000101523",15.232134898879,0.0399795637995005,0.248303066146661,0.669530497718981,0.932911408435878,"ENSMUSG00000101523"
"ENSMUSG00000058729",194.524970948473,-0.191467143799508,0.287444572900151,0.166515927485971,0.609494996675885,"Lin9"
"ENSMUSG00000026499",3806.9823651573,0.00370071373330983,0.189387426879778,0.978905430717841,0.994950755810804,"Acbd3"
"ENSMUSG00000103649",79.6680110762052,0.151102477277055,0.238756200335669,0.294950668423158,0.751827027344432,"ENSMUSG00000103649"
"ENSMUSG00000026596",2648.12968413614,0.23102432235638,0.249901194664152,0.136609220457467,0.559973915841138,"Abl2"
"ENSMUSG00000104293",28.9673168733665,-0.0458997731985968,0.254988043492446,0.57305415381424,0.900737490539756,"ENSMUSG00000104293"
"ENSMUSG00000026219",15850.0047355493,0.0843067135303116,0.174614399664214,0.527164481190111,0.884590018599704,"Trip12"
"ENSMUSG00000103505",7.6067090249707,0.00828028034627331,0.255606821657726,0.90092345397265,0.982883640204175,"ENSMUSG00000103505"
"ENSMUSG00000104503",17.0664768811807,-0.0702548802065019,0.266527766109772,0.331002403925558,0.780785070784117,"ENSMUSG00000104503"
"ENSMUSG00000073633",266.605603580674,0.0265585318924054,0.227839448769561,0.823192669211275,0.969428612309179,"Fbxo36"
"ENSMUSG00000026220",5.68507250807966,-0.067098491620148,0.27061554384908,0.228026533604964,0.689924525839543,"Slc16a14"
"ENSMUSG00000026104",624.89480012571,0.104643440443591,0.238610585324235,0.414934448375224,0.827227174957558,"Stat1"
"ENSMUSG00000026383",251.474728549387,0.350194030627557,0.410229038935196,0.0496462848725739,0.340157782233976,"Epb41l5"
"ENSMUSG00000060519",4184.33772794509,-0.0282534616882535,0.204454815709035,0.824967023859671,0.969428612309179,"Tor3a"
"ENSMUSG00000060743",2065.6361627642,-0.0580233266977661,0.221345058361907,0.642947018732948,0.923125776916579,"H3f3a"
"ENSMUSG00000073485",43.4769777564124,0.0119781849181817,0.242644526518486,0.903517445006544,0.9831475128214,"ENSMUSG00000073485"
"ENSMUSG00000038806",1786.35110018148,-0.0632925273069336,0.215589456177335,0.622637516676694,0.91936425152459,"Sde2"
"ENSMUSG00000064281",4.00434462767753,-0.0501605525619019,0.264508973735948,0.377322310988099,0.80791878304234,"Rpl19-ps1"
"ENSMUSG00000033557",3173.34290352882,0.0622410635657553,0.178366134095635,0.641184381219402,0.923125776916579,"Fam20b"
"ENSMUSG00000066652",2.65883502435753,-0.00653860199743926,0.261335284790325,0.86282051868002,NA,"Lefty2"
"ENSMUSG00000025932",1229.85850154423,0.0104642630499538,0.246179773038404,0.913289590399277,0.985004188637646,"Eya1"
"ENSMUSG00000026520",746.09336115608,0.0698393736327096,0.218527498713442,0.593085686280765,0.907527366704248,"Pycr2"
